,,,,,,,,,,,,,,
question,1,2,3,4,5,6,7,8,9,10,11,12,13,14
answer_no,break,1,3,3,5,-,-,-,-,1,2,2,5,1
answer,,2,4523,4,,-,-,-,-,"a,b,c",,4,,
comment,,,45 and 23 doesn’t sum up to the same value like in other cases,4^3+4 = 68,,"From calculations I get 34, I guess there is no proper answer for that one. Bummer :D",from calculations I got 202 AND 205 but there is no such an answer…,"Joe has 108, Tom has 36, and Mary has 9. but we don’t have such an answer",we don’t have proper answer. The answer = 6. How many eights has sum of outer squares ,,,After 4 stages,,Only 1 dot in spot in a row or column
,,,,,*** maybe 4?,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://www.wordofmouthexperiment.com/dedpyhto/tests/test/iq-test1.htm,,,,,,,,,,,,,,
answers: https://vozforums.com/showthread.php?t=2888102&page=9,,,,,,,,,,,,,,
